publish_date,headline_place,headline_state,NCRB_stats,headline_text
20200816,city.bengaluru,Karnataka,,Bengaluru: 70-year-old woman killed; Rs 45 lakh stolen
20200315,city.bengaluru,Karnataka,,Bengaluru: Pregnant woman beaten up after extortion bid
20200107,city.bengaluru,Karnataka,,Acid attack: Woman; 2 others held for shopkeeper's murder in Bengaluru
20200219,city.bengaluru,Karnataka,,Karnataka: Elusive for 25 years; man held for woman's murder
20201207,city.bengaluru,Karnataka,,Bengaluru: Elderly woman found murdered; cops clueless
20201223,city.bengaluru,Karnataka,,Bengaluru: Duo's arrest for woman's murder leads police to currency racket
20200208,city.bengaluru,Karnataka,,Bengaluru woman techie who killed mom counselled for suicidal thoughts
20200219,city.bengaluru,Karnataka,,Karnataka: Jeep that killed woman was allotted to government official
20200816,city.bengaluru,Karnataka,,Bengaluru: 70-year-old woman killed; Rs 45 lakh stolen
20201215,city.bengaluru,Karnataka,,Violence against women up; child mortality down in Karnataka
20200624,city.mysuru,Karnataka,,Karnataka: Home alone woman killed; gold stolen
20200801,city.mysuru,Karnataka,,Son killed woman for scolding him in Karnataka
20200603,city.mysuru,Karnataka,,Woman robbed of her gold chain
20200507,city.mysuru,Karnataka,,Mysuru: 19-year-old pregnant woman murdered; husband arrested
20201012,city.mysuru,Karnataka,,Woman; son murdered in Shivamogga
20201109,city.mysuru,Karnataka,,Young woman's half burnt body found; murder suspected
20200222,city.mysuru,Karnataka,,Woman killed; 12 injured as private bus overturns in Hunsur
20200624,city.mysuru,Karnataka,,Karnataka: Home alone woman killed; gold stolen
20200801,city.mysuru,Karnataka,,Son killed woman for scolding him in Karnataka
20200602,city.kochi,Kerala,10139,Woman killed; hubby seriously hurt in attack
20200823,city.kochi,Kerala,,Kerala: Tribeswoman killed for tipping off smuggling
20200602,city.kochi,Kerala,,Woman killed; hubby seriously hurt in attack
20200823,city.kochi,Kerala,,Kerala: Tribeswoman killed for tipping off smuggling
20200805,city.kochi,Kerala,,Woman; aged 75; raped in Kerala's Ernakulam
20200728,city.aurangabad,Maharashtra,31954,Aurangabad teen killed after petty argument; woman among 3 arrested
20200812,city.aurangabad,Maharashtra,,70-yr-old woman murdered and robbed in Hingoli
20200222,city.aurangabad,Maharashtra,,Woman; paramour held for her husband's murder
20200812,city.aurangabad,Maharashtra,,70-yr-old woman murdered and robbed in Hingoli
20200817,city.aurangabad,Maharashtra,,Pune couple among 3 to get life term in woman's murder
20200728,city.aurangabad,Maharashtra,,Aurangabad teen killed after petty argument; woman among 3 arrested
20200210,city.aurangabad,Maharashtra,,Study: Just 9% women know of Domestic Violence Act
20200225,city.mumbai,Maharashtra,,Mumbai: Elderly woman in Versova killed; body found tied up
20201126,city.mumbai,Maharashtra,,Mumbai: Woman molested; robbed by duo on WR local at night
20201220,city.mumbai,Maharashtra,,Double murder: Woman's second hubby held in UP
20200225,city.mumbai,Maharashtra,,Mumbai: Elderly woman in Versova killed; body found tied up
20200420,city.nagpur,Maharashtra,,Woman killed by tiger; mahua proving to be death trap
20200131,city.nagpur,Maharashtra,,Elderly woman murdered
20200619,city.nagpur,Maharashtra,,Woman tries to stop murder by son; fails
20201228,city.nagpur,Maharashtra,,Friend held for murder in woman's burning case
20200225,city.nagpur,Maharashtra,,40-year-old woman killed in tiger attack in TATR buffer
20200420,city.nagpur,Maharashtra,,Woman killed by tiger; mahua proving to be death trap
20200611,city.nagpur,Maharashtra,,Social workers rescue woman claiming she was gang raped
20200102,city.nashik,Maharashtra,,Woman robbed of gold chain in Mhasrool
20200206,city.nashik,Maharashtra,,Woman robbed of chain; man of cellphone
20200302,city.nashik,Maharashtra,,Woman robbed of gold chain worth Rs 30;000
20200311,city.nashik,Maharashtra,,Woman robbed of her gold chain in Mhasrool
20201003,city.nashik,Maharashtra,,Woman robbed of her cellphone
20201101,city.nashik,Maharashtra,,Woman robbed of gold chain in Panchavati
20200109,city.nashik,Maharashtra,,Woman held with paramour after husband found murdered
20200929,city.nashik,Maharashtra,,Woman killed in accident on h'way
20201105,city.nashik,Maharashtra,,44-year-old woman killed in accident
20200215,city.nashik,Maharashtra,,Citizens unite against violence on women
20201110,city.pune,Maharashtra,,Woman killed after container hits moped
20200123,city.pune,Maharashtra,,Pune: Woman robbed of gold chain worth Rs 2.2 lakh on Pashan hill
20201213,city.pune,Maharashtra,,Pune: Man robbed by woman he met on dating application
20200404,city.pune,Maharashtra,,Pune: Watchman beaten up for misbehaving with woman; dies
20200108,city.pune,Maharashtra,,Three arrested in Lonavla woman murder case
20200118,city.pune,Maharashtra,,Pune: Ex-paramour arrested for woman's murder
20200529,city.pune,Maharashtra,,Woman found murdered in Pune's Wanowrie
20200928,city.pune,Maharashtra,,Pune: Woman murdered; two arrested and one detained
20201017,city.pune,Maharashtra,,Police probe murder of 55-year-old woman
20201028,city.pune,Maharashtra,,Pune: Woman among four held in Shiv Sena leader's murder case
20200304,city.pune,Maharashtra,,Pune: Woman goes to cops & says she killed live-in partner
20201110,city.pune,Maharashtra,,Woman killed after container hits moped
20200706,city.pune,Maharashtra,,2 women murdered by their husbands
20200604,city.ludhiana,Punjab,4838,Killed in Meerut; alive on FB; tale of a woman who eloped with imposter
20200518,city.ludhiana,Punjab,,Minor held for rape; murder bid on woman
20200628,city.ludhiana,Punjab,,Two men; one woman held in Fazilka cop murder case
20200915,city.ludhiana,Punjab,,Adopted son arrested for 70-yr-old woman's murder
20201119,city.ludhiana,Punjab,,Son's 'murder': Elderly woman complains via email
20200604,city.ludhiana,Punjab,,Killed in Meerut; alive on FB; tale of a woman who eloped with imposter
20200128,city.ludhiana,Punjab,,22-year-old woman gang-raped; one held
20200611,city.chandigarh,Punjab & Haryana,,8-month pregnant woman killed by husband
20200621,city.chandigarh,Punjab & Haryana,,Son held for woman's murder
20200705,city.chandigarh,Punjab & Haryana,,Sister-in-law held for woman's murder
20200818,city.chandigarh,Punjab & Haryana,,woman 6 unidentified accomplices booked for attempt to murder
20200912,city.chandigarh,Punjab & Haryana,,6 years after sirsa womans murder over love marriage her bro among 7 get lifer
20201029,city.chandigarh,Punjab & Haryana,,Woman; father; brother held for husband's murder
20200611,city.chandigarh,Punjab & Haryana,,8-month pregnant woman killed by husband
20200625,city.chandigarh,Punjab & Haryana,,woman abducted from home at 3am gang raped parents assaulted when they come to her rescue
20200104,city.jaipur,Rajasthan,,Woman killed; cops suspect missing daughter
20200805,city.jaipur,Rajasthan,34535,45-year-old Jaipur woman found killed; police suspect family feud
20200107,city.jaipur,Rajasthan,,Rajasthan: Elderly woman beaten to death by three sons; daughters-in-law
20200212,city.jaipur,Rajasthan,,Pregnant woman dies; Jaipur lady doctor beaten up
20200808,city.jaipur,Rajasthan,,Rajasthan: Woman beaten up; paraded naked for marrying lover
20200825,city.jaipur,Rajasthan,,Rajasthan: 80-year-old woman beaten to death by grandson for Rs 20;000 in Bundi
20201129,city.jaipur,Rajasthan,,Rajasthan: 30-year-old woman beaten to death by lover in Jhalawar
20200109,city.jaipur,Rajasthan,,Day after city woman's murder; 2-year-old son also found dead
