publish_date,headline_category,headline_text
20210103,city.coimbatore,AIADMK woman cadre beaten up at DMK-organised grama sabha
20210223,city.pune,Woman beaten for resisting abuse
20210331,city.kanpur,Woman beaten to death in Holi dispute
20210519,city.rajkot,60-year-old woman beaten to death by sons in Gujarat
20210630,city.bareilly,Rampur: Woman beaten up mercilessly by daughter's in-laws; video goes viral
20210715,city.pune,Pune: Elderly woman beaten up by grandson & daughter-in-law
20210717,city.dehradun,Six-month pregnant woman beaten to death by brother-in-law in Roorkee
20210725,city.agra,Delhi woman beaten up by girlfriend's kin in Uttar Pradesh lands in hospital
20210820,city.bareilly,beaten brutally for love match woman reaches thana in ambulance with complaint 4 held
20210901,city.ahmedabad,Woman speaks up for mother-in-law; beaten by husband
20210916,city.ahmedabad,Ahmedabad: Woman from Danilimda deprived of sex; beaten by husband
20210921,city.chandigarh,Woman beaten; thrown out of house over dowry
20211114,city.chandigarh,Woman beaten; harassed for dowry
20211122,city.delhi,Delhi: Woman in 70s beaten and robbed in Rajouri Garden
20210104,city.delhi,Delhi: Woman murders hubby; posts status on Facebook; tries to kill self
20210106,city.bareilly,woman 50 gang raped brutalised murdered inside a place of worship in ups budaun
20210109,city.vijayawada,Andhra Pradesh: 30-year-old man held for rape and murder of 75-year-old woman
20210111,city.pune,Pimpri Chinchwad woman; son found murdered; husband primary suspect
20210112,city.agra,Woman; 2 sons booked for murder
20210118,city.bareilly,budaun horror locals want temple where woman was gangraped murdered opened
20210121,city.nashik,Woman found murdered in Mhasrool
20210121,city.bareilly,Skeletal remains of missing woman found; husband & father-in-law held for murder
20210121,city.jaipur,Hubby held for murder of Sawai Madhopur woman
20210122,city.chennai,Chennai woman hires men to murder abusive son-in-law; held
20210124,city.kolhapur,Man held for murdering woman
20210124,city.delhi,23-year-old man murders woman over debt in Delhi; held
20210126,city.coimbatore,29-yr-old woman found murdered
20210202,city.hyderabad,Woman gets life term for 4-year-old girl's murder in Hyderabad
20210203,city.hyderabad,Telangana: Seven held for 45-year-old woman's murder
20210206,city.rajkot,'Love affair' led to 42-yr-old woman sarpanch's murder
20210206,city.hyderabad,Woman; paramour held for hubby's murder
20210208,city.ludhiana,Woman found murdered in Sahnewal
20210210,city.hyderabad,Two held for woman's murder
20210213,city.meerut,Woman; 35; found murdered in field; 'lover' missing
20210215,city.bareilly,Woman's body found in Moradabad; police suspect rape; murder
20210217,city.chandigarh,Woman; paramour held for husband's murder
20210219,city.bareilly,UP: 1 week on; kin; locals protest police failure to crack murder of Dalit woman
20210220,city.chennai,Chennai: Carpenter arrested for rape; murder of 74-year-old woman
20210227,city.mumbai,Cop guilty; Bombay HC acquits woman of son's murder
20210227,city.mumbai,Woman; 79; murdered in Worli; Rs 5 lakh gold missing
20210302,city.allahabad,HC: Unless acquitted; murder accusedwoman can't get custody of her child
20210305,city.patna,Bihar: One arrested for woman's murder at Jaggubigha
20210305,city.jaipur,Woman; lover held for murder of physically challenged husband in Alwar
20210306,city.jaipur,SHRC seeks report on Dausa woman's murder by dad
20210309,city.mumbai,Mumbai: Woman says hubby perished in mishap; nabbed for murder
20210317,city.patna,30-year-old woman found murdered in Gopalganj
20210321,city.vijayawada,Two held for rape & murder of Andhra Pradesh woman
20210322,city.dehradun,Serial offender arrested for murder of 22-yr-old woman found dead in Doon
20210324,city.mumbai,Daughter; boyfriend held for 40-yr-old woman's murder in Mumbai
20210328,city.patna,Bihar: Woman lawyer held for role in hubby's murder
20210328,city.madurai,Two held for murdering woman; child seven months ago
20210408,city.surat,Greed drove millionaire woman to plot murder
20210410,city.chennai,TN woman; 57; murders hubby; 62; to get Rs 3.5cr insurance money
20210416,city.vijayawada,Pregnant woman ends life after learning of husband's murder in Andhra Pradesh
20210416,city.hyderabad,Five held for woman's murder at Hyderabad's Saidabad
20210418,city.jaipur,Woman booked for murder of man in Jaipur
20210426,city.coimbatore,Man arrested for murder of woman; 71
20210430,city.goa,Goa: High court acquits woman in Vasco double murder case
20210510,city.pune,One held for woman's murder
20210512,city.rajkot,Woman finds husband was murdered day he went missing
20210512,city.jaipur,Woman dies; kin allege murder
20210513,city.ranchi,Dhanbad police arrest 3 for murder of elderly woman
20210517,city.hyderabad,60-yr-old woman murdered; kin say gold chain missing
20210521,city.vijayawada,Andhra Pradesh: Woman; two others held for murdering husband
20210521,city.delhi,56-year-old woman; son found murdered at home
