publish_date,headline_place,headline_state,headline_text
20210716,city.kochi,Kerala,Guest worker; woman killed in separate freak accidents in Kochi
20210925,city.kochi,Kerala,Kerala: Woman killed by wild elephant in Munnar
20211201,city.kochi,Kerala,Woman killed; two injured after car rams Metro pillar
20210617,city.kozhikode,Kerala,Kerala: Spurned youth murders woman in Malappuram
20210705,city.kozhikode,Kerala,Kerala: Woman held for alleged murder of daughter
20210716,city.kozhikode,Kerala,Guest worker; woman killed in separate freak accidents in Kochi
20210707,city.kozhikode,Kerala,Kozhikode: Mentally-ill woman raped inside parked bus; two held
20210901,city.kozhikode,Kerala,Woman's kin allege domestic violence
20211206,city.thiruvananthapuram,Kerala,Woman held for son's murder
20211230,city.thiruvananthapuram,Kerala,Man arrested for murdering woman
20211230,city.thiruvananthapuram,Kerala,Man arrested for murdering woman in Kerala
20210524,city.bhopal,Madhya Pradesh,Madhya Pradesh: Woman sedated; held hostage in Vidisha and raped
20210620,city.bhopal,Madhya Pradesh,Bhopal: Married woman raped by 17-year-old neighbour
20210908,city.bhopal,Madhya Pradesh,Woman sedated; raped by 'friend'
20211220,city.bhopal,Madhya Pradesh,Madhya Pradesh: Woman sold for Rs 80;000 & raped for months; rescued after SOS to sister
20211226,city.bhopal,Madhya Pradesh,Bhopal: Woman raped and blackmailed with obscene video
20210917,city.aurangabad,Maharashtra,Woman among 3 held for her child's murder
20211023,city.aurangabad,Maharashtra,Maharashtra: Woman; three others held for husband's murder
20210214,city.aurangabad,Maharashtra,Three booked as Beed woman says she was sold; raped
20210413,city.aurangabad,Maharashtra,Man held for 2 elderly women's murder
20211110,city.aurangabad,Maharashtra,2 women murdered in Aurangabad; one arrest made
20211224,city.mumbai,Maharashtra,Mumbai: Woman; hotel staff killed as car rams into parked bus
20210217,city.mumbai,Maharashtra,Woman attacked; robbed in train at Vasai
20210227,city.mumbai,Maharashtra,Cop guilty; Bombay HC acquits woman of son's murder
20210227,city.mumbai,Maharashtra,Woman; 79; murdered in Worli; Rs 5 lakh gold missing
20210309,city.mumbai,Maharashtra,Mumbai: Woman says hubby perished in mishap; nabbed for murder
20210324,city.mumbai,Maharashtra,Daughter; boyfriend held for 40-yr-old woman's murder in Mumbai
20211104,city.mumbai,Maharashtra,Mumbai: Vagrant woman found murdered
20211115,city.mumbai,Maharashtra,Month after he's out of jail for murder; man held for killing another woman in Mumbai
20211130,city.mumbai,Maharashtra,Mumbai: Woman dies saving husband; lover gets life term for murder
20210208,city.mumbai,Maharashtra,Woman killed son at home in Pune
20210630,city.mumbai,Maharashtra,Maharashtra: Woman killed while crossing tracks; hubby; 2 others escape
20210714,city.mumbai,Maharashtra,Pune woman killed on E-way after hubby rams van into parked trailer near Panvel
20211224,city.mumbai,Maharashtra,Mumbai: Woman; hotel staff killed as car rams into parked bus
20210217,city.mumbai,Maharashtra,Mumbai woman gang-raped in 1BHK flat in Ahmedabad
20210225,city.mumbai,Maharashtra,Mumbai: Facebook friend who raped woman in 2020 held
20210912,city.mumbai,Maharashtra,Raped & brutalised in Mumbai's Andheri; woman dies; accused arrested
20210926,city.mumbai,Maharashtra,Mumbai: Woman says DJ raped her under pretext of marriage
20211008,city.mumbai,Maharashtra,Give Rs 10 lakh payout to woman for burns in domestic violence case: Bombay HC to Maharashtra
20210506,city.mumbai,Maharashtra,Maharashtra: Women fear 2nd lockdown due to domestic violence
20210913,city.mumbai,Maharashtra,Charges added in Sakinaka rape-murder; women's group wants state shelter for victim's children
20211121,city.nagpur,Maharashtra,Hubby; 3 others arrested for woman's murder
20210202,city.nagpur,Maharashtra,52-year-old woman killed by biker
20210401,city.nagpur,Maharashtra,Woman killed in a tiger attack
20210624,city.nagpur,Maharashtra,Nagpur: Woman; son killed in accident
20210310,city.nagpur,Maharashtra,Man who had 5 women in life found murdered
20210126,city.nashik,Maharashtra,Elderly woman; son killed in accident; truck driver held
20210107,city.nashik,Maharashtra,Woman robbed of gold chain in Nashik
20210729,city.nashik,Maharashtra,Woman robbed of gold chains worth Rs 98;000 in Nashik
20210903,city.nashik,Maharashtra,Woman robbed of gold chain worth Rs 70k
20211207,city.nashik,Maharashtra,Nashik: Woman robbed of gold chain worth Rs 62;000
20210121,city.nashik,Maharashtra,Woman found murdered in Mhasrool
20211105,city.nashik,Maharashtra,Nashik: Police look for relative after woman's murder
20210126,city.nashik,Maharashtra,Elderly woman; son killed in accident; truck driver held
20210930,city.nashik,Maharashtra,52-year-old woman killed in Ambad road accident
20211021,city.nashik,Maharashtra,Nashik: Woman killed in road accident
20211125,city.nashik,Maharashtra,Woman killed in road accident
20210929,city.nashik,Maharashtra,Woman raped in Ambad by convict out on parole
20211029,city.nashik,Maharashtra,Woman gang-raped in Nashik village; 4 held
20211228,city.navimumbai,Maharashtra,mumbai raigad woman sarpanch killed naked body found in bushes
20210813,city.navimumbai,Maharashtra,panvel woman robbed of gold chain from a moving auto
20211228,city.navimumbai,Maharashtra,mumbai raigad woman sarpanch killed naked body found in bushes
20210830,city.pune,Maharashtra,65-year-old woman killed; son hurt in land dispute in Pune
20211226,city.pune,Maharashtra,Woman taking husband's body home killed in Pune accident
20210315,city.pune,Maharashtra,Woman walking on Taljai hill robbed
20210925,city.pune,Maharashtra,Pune: Woman pushed off bike & robbed
20210223,city.pune,Maharashtra,Woman beaten for resisting abuse
20210715,city.pune,Maharashtra,Pune: Elderly woman beaten up by grandson & daughter-in-law
20210111,city.pune,Maharashtra,Pimpri Chinchwad woman; son found murdered; husband primary suspect
20210510,city.pune,Maharashtra,One held for woman's murder
20210523,city.pune,Maharashtra,Woman found murdered at home in Dhankawdi
20210525,city.pune,Maharashtra,Woman held on charge of mother-in-law's murder
20210526,city.pune,Maharashtra,Woman found murdered in Chakan; 1 held
20210607,city.pune,Maharashtra,Woman; paramour held for husband's murder
20210617,city.pune,Maharashtra,husband prime suspect in murder of lohegaon woman son police
20210918,city.pune,Maharashtra,Woman found murdered at building site
20210927,city.pune,Maharashtra,Woman murdered in Bhosari
20211101,city.pune,Maharashtra,70-year-old woman found brutally murdered at home in Pune
20210618,city.pune,Maharashtra,Woman killed after tempo rams bike
20210830,city.pune,Maharashtra,65-year-old woman killed; son hurt in land dispute in Pune
20210902,city.pune,Maharashtra,Pune: Woman killed in suspected leopard attack in Khed tehsil
20210929,city.pune,Maharashtra,Pune: Woman & relative killed in hit-and-run accident near Daund
20211226,city.pune,Maharashtra,Woman taking husband's body home killed in Pune accident
20210806,city.thane,Maharashtra,Maharashtra: Woman mortgaged mangalsutra to get husband killed; held
20210806,city.thane,Maharashtra,Maharashtra: Woman mortgaged mangalsutra to get husband killed; held
20210705,city.thane,Maharashtra,maharashtra deaf mute woman raped at rly bungalow
20211011,city.thane,Maharashtra,Maharashtra: 2 men who raped woman in Pushpak Express; their aide held
20210208,city.ludhiana,Punjab,Woman found murdered in Sahnewal
20210610,city.ludhiana,Punjab,Ludhiana: Day after; murdered woman identified
20210825,city.ludhiana,Punjab,Youth; elderly woman killed as car hits bike
20210324,city.chandigarh,Punjab & Haryana,Man killed 70-year-old woman; shared video with girlfriend: Cops
20210817,city.chandigarh,Punjab & Haryana,Woman killed; buried son in house; arrested
20210921,city.chandigarh,Punjab & Haryana,Woman beaten; thrown out of house over dowry
20211114,city.chandigarh,Punjab & Haryana,Woman beaten; harassed for dowry
20210217,city.chandigarh,Punjab & Haryana,Woman; paramour held for husband's murder
20210702,city.chandigarh,Punjab & Haryana,Punjab: Murder case filed over 4 months after elderly woman's death
20210815,city.chandigarh,Punjab & Haryana,60-year-old woman living alone found murdered in Hisar's Shastri Nagar
20211022,city.chandigarh,Punjab & Haryana,Woman found brutally murdered in Hallomajra
